country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Iceland,1540,1740,2050,2440,2980,3110,2790,2490,2650,3080,3740,4960,6690,7490,7970,9010,10860,13180,15440,16240,15100,12580,11900,11930,14250,19100,23470,24210,24810,25260,26510,26100,25660,25490,27320,28090,29070,30400,31550,30710,30930,33720,42030,50700,53610,61930,50100,41850,36250,37590,40680,46960,48230,50150,55120,60740,67950,
Israel,1320,1330,1310,1440,1470,1480,1730,1910,2030,2290,2760,3160,4240,4850,4730,4600,4810,5600,6060,6710,6580,6590,6510,6490,7070,8470,10390,10910,12110,12860,14360,14740,15640,16990,18280,18860,18670,18380,19160,19210,18540,18610,19880,21390,22290,23930,26080,27270,29640,31530,32220,34330,36030,36160,36460,37440,40850,
Italy,960,1060,1160,1280,1410,1550,1700,1850,2060,2250,2610,3240,3920,4310,4500,4710,5250,6720,8400,8680,8190,7600,7740,8010,9350,12120,15900,17240,18600,20300,22880,21520,20790,20610,21760,22240,22130,21900,21820,21080,20640,23270,28220,32390,34210,35820,37760,37690,37690,37680,36000,35370,34760,32910,31820,31170,33540,
Jamaica,,,,,,,620,650,720,760,980,1020,1180,1370,1370,1450,1430,1300,1210,1290,1340,1330,1130,930,950,1170,1480,1690,1770,1740,1600,1830,1870,2280,2510,2750,2880,3110,3230,3230,3250,3430,3640,3780,4070,4310,4560,4320,4380,4580,4960,4990,4870,4660,4560,4710,4990,
Japan,610,690,800,890,1030,1200,1430,1660,1830,2120,2720,3640,4430,5150,5410,5950,7450,9450,10860,11120,10550,10270,10520,11480,13850,18180,24910,27000,27810,28590,30590,33430,36980,42110,43150,40040,34450,33780,36230,36770,34790,35070,38350,40560,39930,38740,38850,38800,43440,46880,49480,48280,43950,38840,37880,38470,41340,
Kenya,100,100,110,100,120,120,130,140,130,160,190,200,230,250,250,280,320,390,450,450,390,340,310,310,340,370,410,400,370,350,330,270,260,270,340,390,430,430,410,400,380,400,450,510,580,700,820,900,960,990,1050,1130,1240,1290,1360,1440,1620,
"Korea, Rep.",120,120,130,130,140,150,190,240,280,310,340,430,550,650,800,960,1270,1670,1860,2020,2040,2150,2320,2450,2820,3480,4460,5310,6360,7440,8170,8860,9910,11600,13040,13230,10070,10160,10740,11620,12460,13350,15630,17790,19950,22420,22800,21040,21260,22540,24550,25760,26800,27250,27690,28380,30600,
Kuwait,,,,,,3660,3670,3560,3340,3550,3670,4390,6660,10120,14940,14090,15480,19290,19510,21330,18860,17770,16710,14710,16820,15460,14320,17380,,,,,,20520,20870,21480,19680,16870,17980,18730,18950,22600,28190,34500,41410,47580,51710,45970,42150,43830,50650,53050,51010,41820,35910,31810,33690,
Latin America & Caribbean (excluding high income),,,,,464.827839,476.6671669,513.2030253,546.0646879,578.8078377,632.0712819,698.0661354,857.6205308,1091.386475,1286.30746,1362.143637,1403.784071,1523.65305,1785.008431,2089.507814,2238.635377,2128.133045,1879.286716,1792.758675,1763.262645,1834.016162,1960.702375,2079.203582,2181.752796,2283.770621,2645.663072,2924.1621,3148.555021,3377.794607,3590.335171,3882.474715,4158.876579,4136.086964,3928.301821,4020.536334,3904.312778,3650.083757,3634.809265,3928.054682,4399.766625,5080.925563,5943.488455,6866.157452,7040.945565,7831.958982,8628.575966,9522.969912,9891.1268,9768.201073,8922.155622,8176.277353,8023.719939,8302.222972,
Latin America & Caribbean,,,,,489.4037958,500.9774013,537.0809479,572.1473473,608.4304858,666.9716731,734.6118201,898.016835,1134.395568,1307.212058,1372.90354,1415.171272,1545.121425,1817.446202,2136.955468,2304.398901,2182.988805,1921.418972,1831.657636,1801.137132,1873.759431,2008.756941,2132.971866,2239.200399,2340.50636,2696.724592,2987.294303,3216.120343,3449.811826,3680.783455,3985.775009,4271.680003,4252.241248,4055.431637,4150.305786,4032.310517,3778.30202,3768.260164,4087.88303,4577.950469,5271.248194,6148.312078,7086.203484,7253.181347,8040.88679,8861.636931,9794.617788,10193.7737,10073.18413,9250.606703,8518.134936,8376.066448,8700.073829,
